latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.82165,-73.2655,306.7,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,277.3,0.9,N
43.49149,-79.62288,301.6,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,271.2,1.0,N
42.81459,-80.09443,300.3,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,271.0,1.1,N
42.80407,-80.09689,296.5,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,271.6,1.1,N
42.80123,-80.10307,303.4,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,271.7,1.1,N
42.30002,-83.15425,309.8,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,271.0,3.2,N
42.29852,-83.15508,321.7,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,275.4,3.1,N
42.29595,-83.16963,317.3,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,272.4,2.3,N
42.29127,-83.16344,301.6,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,271.0,2.3,N
42.2817,-83.10906,300.2,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,273.8,1.9,N
42.2553,-83.12791,325.8,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,270.3,3.9,N
42.26943,-83.43738,302.1,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,268.4,0.6,N
42.2654,-83.43808,305.6,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,267.7,1.0,N
41.46388,-81.67455,337.3,0.5,0.4,2017-12-06,700,N,nominal,1.0NRT,276.8,4.0,N
41.46021,-81.67529,306.4,0.5,0.4,2017-12-06,700,N,nominal,1.0NRT,271.1,1.1,N
41.45653,-81.67605,297.6,0.5,0.4,2017-12-06,700,N,nominal,1.0NRT,269.3,1.1,N
41.45285,-81.6768,328.3,0.5,0.4,2017-12-06,700,N,nominal,1.0NRT,274.4,4.7,N
41.63564,-83.50006,307.0,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,272.2,0.6,N
41.56866,-84.04312,336.5,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,269.9,3.8,N
41.56957,-84.05297,296.2,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,268.9,1.3,N
41.56911,-84.04804,312.5,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,270.6,3.8,N
41.56454,-84.04383,322.0,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,266.8,3.8,N
41.46733,-83.36664,313.1,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,272.2,2.4,N
41.4697,-83.36593,303.7,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,271.6,2.6,N
41.67436,-87.42754,301.3,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,267.8,2.8,N
41.64526,-87.13872,309.8,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,271.1,3.9,N
41.6404,-87.13924,334.0,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,271.6,8.6,N
41.63992,-87.1321,321.6,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,271.8,3.5,N
41.63553,-87.13981,339.6,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,273.1,8.6,N
41.63505,-87.13266,317.4,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,270.2,3.5,N
41.63066,-87.14042,295.7,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,267.9,2.2,N
41.6258,-87.14104,313.5,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,269.0,2.2,N
41.22395,-83.21178,308.5,0.6,0.4,2017-12-06,700,N,nominal,1.0NRT,270.5,2.7,N
41.36724,-84.92299,297.8,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,269.2,1.3,N
40.78277,-81.39536,302.5,0.5,0.4,2017-12-06,700,N,nominal,1.0NRT,269.5,1.4,N
41.12082,-85.35366,302.8,0.5,0.5,2017-12-06,700,N,nominal,1.0NRT,268.4,0.9,N
40.39528,-79.85617,339.6,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,275.9,4.5,N
40.45236,-80.2824,312.5,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,269.3,0.7,N
40.39188,-79.85697,312.5,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,274.2,2.1,N
40.30463,-79.87883,306.3,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,276.4,1.4,N
40.30396,-79.87399,301.5,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,276.7,1.4,N
40.57095,-83.13812,319.1,0.5,0.4,2017-12-06,700,N,nominal,1.0NRT,269.9,2.5,N
40.73582,-86.43565,299.7,0.5,0.5,2017-12-06,700,N,nominal,1.0NRT,270.5,1.5,N
39.87452,-86.48504,296.1,0.5,0.5,2017-12-06,700,N,nominal,1.0NRT,269.3,1.2,N
39.48526,-84.36307,306.9,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,271.3,1.0,N
39.47255,-84.40337,298.6,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,272.7,0.9,N
39.47073,-84.38456,310.6,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,271.8,2.0,N
38.83742,-84.24119,309.2,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,271.2,1.3,N
38.83338,-84.24178,299.8,0.4,0.4,2017-12-06,700,N,nominal,1.0NRT,268.0,1.0,N
38.99971,-87.72437,297.0,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,275.8,1.4,N
38.98946,-87.71862,300.0,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,269.9,1.0,N
38.99791,-87.7232,295.9,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,275.1,2.0,N
38.76197,-84.99576,295.0,0.4,0.5,2017-12-06,700,N,nominal,1.0NRT,272.1,1.1,N
38.88254,-90.14442,296.3,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,269.0,1.2,N
38.82019,-90.0144,297.2,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,270.2,0.6,N
38.82095,-90.01614,296.3,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,269.7,0.7,N
38.58838,-87.94823,320.3,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,270.5,2.6,N
38.58886,-87.95527,295.3,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,269.2,5.2,N
38.58345,-87.94885,322.4,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,270.0,2.6,N
38.58791,-87.95399,328.2,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,271.0,3.9,N
38.58739,-87.94695,309.6,0.6,0.5,2017-12-06,700,N,nominal,1.0NRT,270.2,3.9,N
38.69506,-90.13544,304.8,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,273.6,1.5,N
37.95616,-86.50584,302.0,0.5,0.5,2017-12-06,700,N,nominal,1.0NRT,269.6,1.0,N
38.00825,-90.08025,304.2,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,272.5,1.5,N
37.9694,-90.07902,310.5,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,273.9,1.8,N
37.97448,-90.06696,304.8,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,273.5,1.2,N
37.96947,-90.07627,305.1,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,272.8,1.4,N
37.91943,-94.6109,296.8,0.7,0.8,2017-12-06,700,N,nominal,1.0NRT,270.0,1.1,N
37.20943,-90.93995,325.2,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,270.8,1.8,N
36.99115,-91.36372,337.7,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,272.4,3.8,N
36.9924,-91.36469,326.2,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,271.0,3.7,N
36.99214,-91.35953,304.6,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,270.0,2.3,N
36.42188,-90.88916,319.6,0.4,0.6,2017-12-06,700,N,nominal,1.0NRT,269.6,1.6,N
33.01552,-79.88461,302.2,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,278.2,0.6,N
33.01222,-79.88534,299.6,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,279.4,0.7,N
30.89272,-81.51805,297.9,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,282.8,0.9,N
29.59439,-82.66784,298.6,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,285.5,0.2,N
29.23953,-82.14106,303.7,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,284.8,0.5,N
29.04736,-81.35062,305.5,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,288.4,0.6,N
28.73055,-82.01804,308.7,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,287.1,1.1,N
28.62615,-81.51878,304.3,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,289.8,1.0,N
28.15994,-81.85934,300.4,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,288.7,0.5,N
27.41343,-81.4081,300.8,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,288.5,0.4,N
26.27845,-80.15928,305.6,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.8,0.9,N
26.0396,-80.41191,309.9,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.1,1.1,N
26.03627,-80.41259,316.6,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,290.6,1.1,N
25.85951,-80.34511,307.9,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.2,0.6,N
22.99884,-80.80084,312.3,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.5,1.0,N
22.63676,-80.12827,323.3,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,292.5,1.7,N
22.63332,-80.12897,311.9,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.6,1.7,N
23.01169,-82.74421,328.5,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,294.1,2.5,N
22.91819,-83.3274,310.7,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.8,0.6,N
22.91486,-83.32799,325.2,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.9,1.6,N
22.42196,-80.99232,302.7,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,292.4,0.5,N
21.55529,-77.23658,304.6,0.4,0.5,2017-12-06,706,N,nominal,1.0NRT,292.4,1.0,N
22.34654,-84.36499,308.2,0.4,0.4,2017-12-06,706,N,nominal,1.0NRT,291.4,0.9,N
20.94303,-89.66382,307.4,0.5,0.5,2017-12-06,706,N,nominal,1.0NRT,291.8,0.9,N
20.35952,-97.42339,299.6,0.7,0.8,2017-12-06,706,N,nominal,1.0NRT,287.4,0.6,N
19.30203,-92.20335,306.6,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,286.1,1.8,N
19.29386,-92.17519,367.0,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,291.1,13.2,N
19.29353,-92.17199,353.2,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,291.3,13.2,N
19.29319,-92.1688,346.6,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,290.8,8.2,N
19.34204,-96.70831,303.8,0.7,0.7,2017-12-06,706,N,nominal,1.0NRT,287.8,1.3,N
18.87622,-92.6359,301.2,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,286.5,1.5,N
18.87585,-92.63253,309.4,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,287.8,1.4,N
18.87549,-92.62916,303.1,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,287.3,1.4,N
18.8706,-92.63317,328.3,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,289.0,1.4,N
18.87096,-92.63654,304.5,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,287.5,1.5,N
18.87023,-92.62981,318.4,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,288.4,1.4,N
18.86987,-92.62643,301.6,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,287.7,1.6,N
18.86534,-92.63381,303.9,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,289.2,1.6,N
18.86497,-92.63045,313.5,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,288.6,1.6,N
18.86461,-92.62708,306.0,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,288.2,2.5,N
18.44361,-93.16487,340.6,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.8,3.6,N
18.44398,-93.16849,313.3,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,3.3,N
18.43819,-93.16547,340.1,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.5,3.6,N
18.43856,-93.16908,318.5,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.0,3.3,N
18.39371,-92.82888,303.6,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.4,0.3,N
18.0983,-93.43385,303.8,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.6,0.4,N
18.10507,-94.34731,299.0,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,287.2,2.1,N
17.89439,-92.48987,320.6,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,291.4,1.3,N
18.0325,-93.92486,311.7,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,289.6,0.9,N
17.8786,-92.48853,304.0,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,290.7,0.7,N
17.9054,-93.18414,317.6,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.7,12.7,N
17.90503,-93.18059,310.7,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,12.7,N
17.90001,-93.18478,367.0,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,297.2,12.7,N
17.89964,-93.18124,328.8,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.7,12.7,N
17.90037,-93.1883,317.1,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,27.3,N
17.89499,-93.18897,322.8,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.0,5.3,N
17.89462,-93.18545,320.5,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.4,2.4,N
17.91466,-93.38039,308.9,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.9,0.8,N
17.91429,-93.37672,307.4,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.6,0.8,N
17.90346,-93.18472,367.0,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,295.7,17.9,N
17.90307,-93.18119,339.4,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.0,17.9,N
17.90386,-93.18826,304.9,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,12.6,N
17.89808,-93.18536,367.0,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.0,5.0,N
17.89847,-93.18888,305.9,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.9,4.9,N
17.89769,-93.18185,314.7,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,5.0,N
17.89269,-93.186,331.1,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,5.0,N
17.91409,-93.38058,301.5,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.7,0.5,N
17.91369,-93.37691,306.4,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.7,0.5,N
17.89308,-93.18951,315.5,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.6,4.9,N
17.91293,-93.52329,301.3,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.7,0.6,N
17.92149,-93.76199,327.2,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,290.8,2.0,N
17.84235,-93.12397,338.0,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,292.2,17.6,N
17.84197,-93.12045,367.0,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,295.0,17.7,N
17.8416,-93.11696,344.3,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.8,17.7,N
17.98854,-94.52666,304.7,0.5,0.6,2017-12-06,706,N,nominal,1.0NRT,286.9,1.9,N
17.9831,-94.53168,320.8,0.5,0.7,2017-12-06,706,N,nominal,1.0NRT,288.5,3.0,N
17.98354,-94.5361,300.0,0.5,0.7,2017-12-06,706,N,nominal,1.0NRT,288.9,3.7,N
17.83661,-93.12105,307.5,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.4,1.0,N
17.65092,-92.44441,306.4,0.3,0.6,2017-12-06,706,N,nominal,1.0NRT,292.4,0.6,N
17.7226,-93.1493,320.5,0.4,0.6,2017-12-06,706,N,nominal,1.0NRT,291.5,0.9,N
