latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.04399,-73.14526,316.0,0.4,0.5,2017-12-08,624,N,nominal,1.0NRT,274.6,2.6,N
45.86823,-72.68076,302.7,0.6,0.4,2017-12-08,624,N,nominal,1.0NRT,268.8,1.1,N
43.27311,-79.79658,326.8,0.4,0.6,2017-12-08,624,N,nominal,1.0NRT,273.1,4.5,N
43.26799,-79.80681,351.9,0.4,0.6,2017-12-08,624,N,nominal,1.0NRT,274.2,4.0,N
43.2682,-79.81172,295.2,0.4,0.6,2017-12-08,624,N,nominal,1.0NRT,268.2,4.0,N
42.2995,-83.15755,296.2,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,269.1,1.4,N
42.29323,-83.17217,303.6,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,267.6,1.3,N
42.29313,-83.165,296.2,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,267.3,1.3,N
42.28585,-83.10836,312.2,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,270.1,2.7,N
42.29976,-83.17386,295.1,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,266.2,0.9,N
42.29947,-83.1595,295.8,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,269.9,1.9,N
42.29314,-83.16695,308.2,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,267.8,2.0,N
42.28558,-83.11029,313.3,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,269.1,2.6,N
42.25369,-83.13284,300.3,0.6,0.7,2017-12-08,624,N,nominal,1.0NRT,266.0,1.3,N
41.43493,-75.5961,299.7,0.5,0.5,2017-12-08,624,N,nominal,1.0NRT,268.0,0.8,N
40.88998,-77.71175,302.7,0.6,0.5,2017-12-08,624,N,nominal,1.0NRT,268.0,2.3,N
40.8923,-77.71007,307.9,0.6,0.5,2017-12-08,624,N,nominal,1.0NRT,268.8,2.2,N
40.48213,-74.32499,305.4,0.4,0.4,2017-12-08,624,N,nominal,1.0NRT,266.9,1.7,N
23.14226,-81.71452,327.3,0.3,0.6,2017-12-08,630,N,nominal,1.0NRT,287.5,1.2,N
23.1426,-81.7178,307.9,0.3,0.6,2017-12-08,630,N,nominal,1.0NRT,286.5,2.5,N
23.13723,-81.71532,302.4,0.3,0.6,2017-12-08,630,N,nominal,1.0NRT,286.0,1.2,N
21.89179,-82.77444,296.8,0.4,0.6,2017-12-08,630,N,nominal,1.0NRT,275.0,0.6,N
18.92755,-70.35521,332.2,0.5,0.4,2017-12-08,630,N,nominal,1.0NRT,292.7,6.3,N
18.92679,-70.35087,301.5,0.5,0.4,2017-12-08,630,N,nominal,1.0NRT,290.1,6.3,N
20.94481,-89.66388,307.4,0.3,0.6,2017-12-08,812,N,nominal,1.0NRT,288.6,1.4,N
20.94634,-89.66207,303.3,0.3,0.6,2017-12-08,812,N,nominal,1.0NRT,288.4,0.7,N
22.90872,-105.95297,299.2,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,288.6,0.4,N
21.75882,-102.96793,310.0,0.5,0.4,2017-12-08,812,N,nominal,1.0NRT,281.7,1.4,N
19.60114,-92.2906,339.1,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,291.4,8.5,N
19.56767,-92.23615,324.5,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,290.2,5.2,N
19.40211,-92.04281,301.1,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,289.2,1.4,N
19.40117,-92.03808,306.6,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,288.8,1.4,N
19.39764,-92.0438,305.0,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,289.4,1.4,N
19.3967,-92.03906,310.2,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,290.2,1.4,N
19.39576,-92.03432,300.9,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,288.8,1.6,N
19.39317,-92.04478,321.3,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,291.1,5.9,N
19.39223,-92.04005,329.8,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,290.8,5.9,N
19.30135,-92.19904,304.8,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,288.7,0.8,N
19.24429,-92.25237,304.3,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,290.7,1.8,N
19.23987,-92.25333,307.7,0.5,0.5,2017-12-08,812,N,nominal,1.0NRT,291.2,1.8,N
20.38529,-99.69187,306.8,0.4,0.4,2017-12-08,812,N,nominal,1.0NRT,284.0,0.9,N
20.58211,-101.17031,295.8,0.4,0.4,2017-12-08,812,N,nominal,1.0NRT,284.1,2.0,N
20.57866,-101.17088,322.8,0.4,0.4,2017-12-08,812,N,nominal,1.0NRT,285.5,2.0,N
20.52493,-100.922,324.8,0.4,0.4,2017-12-08,812,N,nominal,1.0NRT,284.7,2.1,N
20.52208,-100.92653,299.3,0.4,0.4,2017-12-08,812,N,nominal,1.0NRT,284.2,2.0,N
20.63713,-103.34084,300.8,0.5,0.4,2017-12-08,812,N,nominal,1.0NRT,284.8,0.8,N
20.04983,-99.29215,310.0,0.4,0.4,2017-12-08,812,N,nominal,1.0NRT,282.9,2.1,N
