latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.878,-92.599,305.4,4.5,1.9,2017-12-06,345,T,29,6.0NRT,292.5,44.0,N
18.87,-92.64,322.4,4.5,2.0,2017-12-06,345,T,100,6.0NRT,292.6,165.3,N
18.88,-92.604,309.2,4.5,1.9,2017-12-06,345,T,65,6.0NRT,292.6,66.5,N
18.871,-92.645,317.7,4.5,2.0,2017-12-06,345,T,94,6.0NRT,292.6,126.4,N
22.633,-80.132,304.6,1.1,1.1,2017-12-06,345,T,61,6.0NRT,291.9,6.8,N
22.995,-80.799,302.7,1.1,1.0,2017-12-06,345,T,51,6.0NRT,291.4,5.6,N
38.583,-87.951,328.9,1.0,1.0,2017-12-06,350,T,100,6.0NRT,272.3,34.2,N
34.261,-118.373,329.8,2.3,1.5,2017-12-06,525,T,100,6.0NRT,286.6,104.2,N
34.256,-118.398,316.6,2.3,1.5,2017-12-06,525,T,93,6.0NRT,284.3,57.6,N
34.336,-118.341,323.3,2.3,1.5,2017-12-06,525,T,100,6.0NRT,281.5,81.4,N
34.339,-118.32,300.0,2.3,1.5,2017-12-06,525,T,9,6.0NRT,279.2,22.7,N
34.333,-118.347,321.0,2.3,1.5,2017-12-06,525,T,100,6.0NRT,281.9,73.6,N
34.324,-119.142,306.1,2.6,1.5,2017-12-06,525,T,67,6.0NRT,283.7,38.6,N
34.318,-119.168,312.9,2.6,1.5,2017-12-06,525,T,86,6.0NRT,283.0,58.5,N
34.315,-119.314,300.6,2.6,1.6,2017-12-06,525,T,7,6.0NRT,282.6,27.5,N
34.393,-119.02,327.7,2.5,1.5,2017-12-06,525,T,100,6.0NRT,283.6,106.9,N
34.387,-119.046,320.2,2.5,1.5,2017-12-06,525,T,100,6.0NRT,283.1,75.7,N
34.334,-119.291,301.8,2.6,1.6,2017-12-06,525,T,43,6.0NRT,281.2,29.9,N
34.329,-119.317,386.3,2.6,1.6,2017-12-06,525,T,100,6.0NRT,291.7,752.3,N
34.316,-119.375,348.8,2.7,1.6,2017-12-06,525,T,100,6.0NRT,291.1,251.9,N
34.386,-119.025,315.6,2.5,1.5,2017-12-06,525,T,92,6.0NRT,283.4,62.1,N
34.38,-119.051,301.0,2.5,1.5,2017-12-06,525,T,25,6.0NRT,282.8,23.9,N
34.32,-119.321,363.2,2.6,1.6,2017-12-06,525,T,100,6.0NRT,289.4,402.9,N
34.4,-119.027,333.3,2.5,1.5,2017-12-06,525,T,100,6.0NRT,283.2,135.8,N
34.394,-119.054,303.0,2.5,1.5,2017-12-06,525,T,32,6.0NRT,281.7,27.3,N
34.339,-119.299,340.9,2.6,1.6,2017-12-06,525,T,100,6.0NRT,284.2,192.4,N
34.334,-119.324,365.5,2.6,1.6,2017-12-06,525,T,100,6.0NRT,289.1,425.6,N
34.321,-119.383,354.7,2.7,1.6,2017-12-06,525,T,100,6.0NRT,291.3,303.3,N
34.353,-119.303,312.4,2.6,1.6,2017-12-06,525,T,24,6.0NRT,283.3,48.1,N
34.348,-119.327,336.5,2.6,1.6,2017-12-06,525,T,100,6.0NRT,287.6,154.6,N
