latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.321,-118.509,302.8,0.4,0.4,2016-02-05,0950,N,VIIRS,n,1.0,280.1,0,N
34.402,-118.999,297.1,0.4,0.4,2016-02-05,0950,N,VIIRS,n,1.0,283.7,0,N
34.293,-118.802,295.3,0.4,0.4,2016-02-05,0950,N,VIIRS,n,1.0,282.2,0,N
34.356,-119.421,311.3,0.4,0.4,2016-02-05,0950,N,VIIRS,n,1.0,280.2,0,N
34.29,-118.8,299,0.5,0.5,2016-02-07,0910,N,VIIRS,n,1.0,286.1,0,N
35.252,-119.578,295.9,0.4,0.4,2016-02-11,0935,N,VIIRS,n,1.0,285,0,N
34.335,-118.52,304.1,0.4,0.4,2016-02-11,0935,N,VIIRS,n,1.0,286.1,0,N
34.401,-118.997,297.8,0.4,0.4,2016-02-11,0935,N,VIIRS,n,1.0,284.8,0,N
34.32,-118.51,307.6,0.4,0.4,2016-02-11,0935,N,VIIRS,n,1.0,286.2,0,N
34.292,-118.801,302.8,0.4,0.4,2016-02-11,0935,N,VIIRS,n,1.0,284.9,0,N
35.2,-118.625,307.2,0.4,0.4,2016-02-06,0930,N,VIIRS,n,1.0,272,0,N
34.335,-118.52,302.4,0.4,0.4,2016-02-06,0930,N,VIIRS,n,1.0,280.6,0,N
34.32,-118.513,306.6,0.4,0.4,2016-02-06,0930,N,VIIRS,n,1.0,281.1,0,N
34.292,-118.8,297.4,0.4,0.4,2016-02-06,0930,N,VIIRS,n,1.0,283.8,0,N
34.336,-118.519,298.2,0.4,0.5,2016-02-12,0915,N,VIIRS,n,1.0,284.9,0,N
34.319,-118.513,302.1,0.4,0.5,2016-02-12,0915,N,VIIRS,n,1.0,285,0,N
34.292,-118.8,295.2,0.4,0.5,2016-02-20,1010,N,VIIRS,n,1.0NRT,279.2,0,N
34.312,-118.875,303.3,0.4,0.5,2016-02-20,1010,N,VIIRS,n,1.0NRT,279.1,0,N
34.32,-118.509,300.6,0.4,0.5,2016-02-20,1010,N,VIIRS,n,1.0NRT,279.9,0,N
34.333,-118.517,304.6,0.4,0.5,2016-02-20,1010,N,VIIRS,n,1.0NRT,279.1,0,N
34.335,-118.52,299.2,0.4,0.6,2016-02-29,0900,N,VIIRS,n,1.0NRT,284.6,0,N
34.334,-118.519,306.8,0.4,0.4,2016-02-10,0955,N,VIIRS,n,1.0,286,0,N
34.319,-118.513,306.2,0.4,0.4,2016-02-10,0955,N,VIIRS,n,1.0,287.4,0,N
34.291,-118.802,302.5,0.4,0.4,2016-02-10,0955,N,VIIRS,n,1.0,287,0,N
34.582,-120.625,308.3,0.4,0.4,2016-02-10,0955,N,VIIRS,n,1.0,290.8,0,N
34.334,-118.518,302.4,0.5,0.4,2016-02-15,1000,N,VIIRS,n,1.0,288.1,0,N
34.321,-118.509,299.7,0.5,0.4,2016-02-15,1000,N,VIIRS,n,1.0,288.9,0,N
34.319,-118.512,299.5,0.5,0.4,2016-03-04,0925,N,VIIRS,n,1.0NRT,280.8,0,N
34.335,-118.52,298.7,0.5,0.4,2016-03-04,0925,N,VIIRS,n,1.0NRT,280.6,0,N
34.336,-118.519,298.1,0.5,0.4,2016-03-04,0925,N,VIIRS,n,1.0NRT,281.3,0,N
34.999,-118.869,367,0.4,0.6,2016-03-06,2005,N,VIIRS,n,1.0NRT,294,0,D
34.993,-118.867,367,0.4,0.6,2016-03-06,2005,N,VIIRS,n,1.0NRT,293.6,0,D
34.292,-118.802,300.8,0.4,0.4,2016-02-16,0945,N,VIIRS,n,1.0,290.2,0,N
34.335,-118.518,302.9,0.4,0.4,2016-02-16,0945,N,VIIRS,n,1.0,287.7,0,N
