latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
44.218,-103.802,317.7,1.2,1.1,2017-12-10,505,T,39,6.0NRT,269.6,24.4,N
19.022,-98.627,315.9,1.1,1.0,2017-12-10,500,T,92,6.0NRT,273.3,22.1,N
20.354,-101.016,304.5,1.0,1.0,2017-12-10,500,T,60,6.0NRT,279.0,10.0,N
20.385,-101.057,332.0,1.0,1.0,2017-12-10,500,T,100,6.0NRT,280.9,35.8,N
20.384,-101.066,308.1,1.0,1.0,2017-12-10,500,T,74,6.0NRT,279.7,12.2,N
20.387,-101.418,301.5,1.0,1.0,2017-12-10,500,T,42,6.0NRT,277.9,8.8,N
23.216,-105.476,300.5,1.4,1.2,2017-12-10,500,T,29,6.0NRT,285.1,9.8,N
26.88,-101.416,310.5,1.0,1.0,2017-12-10,500,T,80,6.0NRT,280.7,14.2,N
26.885,-101.448,309.2,1.0,1.0,2017-12-10,500,T,77,6.0NRT,279.2,13.0,N
26.883,-101.458,303.8,1.0,1.0,2017-12-10,500,T,57,6.0NRT,279.2,9.7,N
34.428,-119.321,311.5,2.9,1.6,2017-12-10,640,T,56,6.0NRT,278.5,56.0,N
34.426,-119.354,417.6,2.9,1.6,2017-12-10,640,T,100,6.0NRT,305.2,1778.0,N
34.423,-119.387,435.6,2.9,1.6,2017-12-10,640,T,100,6.0NRT,313.4,2542.4,N
34.429,-119.327,319.7,2.9,1.6,2017-12-10,640,T,90,6.0NRT,280.5,85.4,N
34.427,-119.36,434.6,2.9,1.6,2017-12-10,640,T,100,6.0NRT,313.7,2517.0,N
34.425,-119.393,426.9,2.9,1.6,2017-12-10,640,T,100,6.0NRT,308.2,2142.6,N
34.422,-119.427,308.5,2.9,1.6,2017-12-10,640,T,10,6.0NRT,286.5,37.0,N
34.446,-119.297,321.9,2.9,1.6,2017-12-10,640,T,100,6.0NRT,276.1,99.7,N
34.443,-119.33,323.0,2.9,1.6,2017-12-10,640,T,80,6.0NRT,284.8,97.6,N
34.441,-119.365,353.1,2.9,1.6,2017-12-10,640,T,100,6.0NRT,290.2,318.4,N
34.439,-119.398,385.2,2.9,1.6,2017-12-10,640,T,100,6.0NRT,292.3,813.3,N
34.437,-119.43,319.6,2.9,1.6,2017-12-10,640,T,27,6.0NRT,285.3,70.2,N
34.451,-119.433,335.9,2.9,1.6,2017-12-10,640,T,100,6.0NRT,286.9,162.5,N
34.465,-119.44,335.6,2.9,1.6,2017-12-10,640,T,100,6.0NRT,286.2,165.5,N
34.48,-119.444,391.8,2.9,1.6,2017-12-10,640,T,100,6.0NRT,291.8,962.9,N
34.478,-119.472,408.8,2.9,1.6,2017-12-10,640,T,100,6.0NRT,287.4,1431.3,N
34.476,-119.502,311.1,2.9,1.6,2017-12-10,640,T,31,6.0NRT,276.2,47.1,N
34.495,-119.443,371.0,2.9,1.6,2017-12-10,640,T,100,6.0NRT,287.7,553.8,N
34.493,-119.471,390.4,2.9,1.6,2017-12-10,640,T,100,6.0NRT,284.8,926.8,N
34.467,-119.447,331.5,2.9,1.6,2017-12-10,640,T,82,6.0NRT,286.3,133.0,N
34.481,-119.45,407.2,2.9,1.6,2017-12-10,640,T,100,6.0NRT,293.0,1390.8,N
34.48,-119.478,392.0,2.9,1.6,2017-12-10,640,T,100,6.0NRT,282.5,961.4,N
34.516,-119.133,307.0,3.0,1.7,2017-12-10,640,T,70,6.0NRT,272.1,58.9,N
34.496,-119.45,374.9,2.9,1.6,2017-12-10,640,T,100,6.0NRT,288.6,623.8,N
34.494,-119.477,366.5,2.9,1.6,2017-12-10,640,T,100,6.0NRT,280.7,487.6,N
34.536,-119.297,302.7,3.0,1.6,2017-12-10,640,T,39,6.0NRT,271.4,36.2,N
34.534,-119.327,302.0,2.9,1.6,2017-12-10,640,T,14,6.0NRT,277.2,33.9,N
19.344,-155.038,314.4,1.7,1.3,2017-12-10,815,T,85,6.0NRT,293.7,27.8,N
19.341,-155.053,323.4,1.7,1.3,2017-12-10,815,T,100,6.0NRT,294.0,47.5,N
19.341,-155.044,317.3,1.7,1.3,2017-12-10,815,T,91,6.0NRT,294.6,33.5,N
19.338,-155.059,308.3,1.7,1.3,2017-12-10,815,T,30,6.0NRT,291.0,18.9,N
19.353,-155.045,329.0,1.7,1.3,2017-12-10,815,T,100,6.0NRT,293.0,60.2,N
19.35,-155.06,315.6,1.7,1.3,2017-12-10,815,T,71,6.0NRT,290.3,30.6,N
19.364,-155.045,307.1,1.7,1.3,2017-12-10,815,T,51,6.0NRT,288.9,17.7,N
19.385,-155.064,322.8,1.7,1.3,2017-12-10,815,T,100,6.0NRT,291.8,46.6,N
19.382,-155.08,318.3,1.7,1.3,2017-12-10,815,T,96,6.0NRT,292.0,37.1,N
19.393,-155.082,335.2,1.7,1.3,2017-12-10,815,T,100,6.0NRT,293.6,82.8,N
19.391,-155.097,327.6,1.7,1.3,2017-12-10,815,T,100,6.0NRT,291.0,61.9,N
19.405,-155.271,354.7,1.8,1.3,2017-12-10,815,T,100,6.0NRT,288.3,175.1,N
19.402,-155.287,365.9,1.8,1.3,2017-12-10,815,T,100,6.0NRT,289.1,245.5,N
30.0,-90.396,306.7,1.2,1.1,2017-12-10,740,A,69,6.0NRT,279.5,16.6,N
34.539,-119.295,300.8,2.6,1.5,2017-12-10,920,A,23,6.0NRT,271.5,29.8,N
34.514,-119.156,318.2,2.5,1.5,2017-12-10,920,A,96,6.0NRT,269.4,77.4,N
34.512,-119.127,347.7,2.5,1.5,2017-12-10,920,A,100,6.0NRT,276.2,238.1,N
34.523,-119.467,316.1,2.7,1.6,2017-12-10,920,A,33,6.0NRT,275.3,61.7,N
34.512,-119.505,373.9,2.7,1.6,2017-12-10,920,A,100,6.0NRT,281.5,539.6,N
34.51,-119.472,428.0,2.7,1.6,2017-12-10,920,A,100,6.0NRT,299.0,1927.8,N
34.507,-119.441,334.0,2.6,1.6,2017-12-10,920,A,100,6.0NRT,273.8,145.3,N
34.498,-119.509,369.5,2.7,1.6,2017-12-10,920,A,100,6.0NRT,281.0,469.7,N
34.496,-119.479,461.4,2.7,1.6,2017-12-10,920,A,100,6.0NRT,312.4,3601.3,N
34.494,-119.447,357.4,2.6,1.6,2017-12-10,920,A,100,6.0NRT,276.8,326.4,N
34.463,-119.027,301.4,2.5,1.5,2017-12-10,920,A,40,6.0NRT,273.7,28.3,N
34.461,-118.998,353.8,2.5,1.5,2017-12-10,920,A,100,6.0NRT,278.2,274.3,N
34.459,-118.976,317.9,2.5,1.5,2017-12-10,920,A,96,6.0NRT,275.7,66.7,N
34.484,-119.51,386.9,2.7,1.6,2017-12-10,920,A,100,6.0NRT,280.2,755.4,N
34.482,-119.479,452.1,2.7,1.6,2017-12-10,920,A,100,6.0NRT,300.7,3054.4,N
34.479,-119.445,352.3,2.6,1.6,2017-12-10,920,A,100,6.0NRT,272.5,268.8,N
34.448,-119.002,359.5,2.5,1.5,2017-12-10,920,A,100,6.0NRT,280.4,322.2,N
34.446,-118.979,340.2,2.5,1.5,2017-12-10,920,A,100,6.0NRT,278.8,167.3,N
34.52,-119.507,333.7,2.7,1.6,2017-12-10,920,A,100,6.0NRT,272.3,138.2,N
34.518,-119.474,370.3,2.7,1.6,2017-12-10,920,A,100,6.0NRT,281.3,484.0,N
34.515,-119.445,319.4,2.6,1.6,2017-12-10,920,A,56,6.0NRT,272.3,74.5,N
34.507,-119.512,348.4,2.7,1.6,2017-12-10,920,A,100,6.0NRT,279.1,238.3,N
34.504,-119.48,443.1,2.7,1.6,2017-12-10,920,A,100,6.0NRT,306.5,2590.3,N
34.502,-119.448,362.2,2.6,1.6,2017-12-10,920,A,100,6.0NRT,281.6,378.8,N
34.5,-119.422,320.0,2.6,1.6,2017-12-10,920,A,88,6.0NRT,266.9,78.0,N
34.466,-119.002,315.1,2.5,1.5,2017-12-10,920,A,87,6.0NRT,272.6,57.8,N
34.488,-119.453,381.3,2.6,1.6,2017-12-10,920,A,100,6.0NRT,282.6,645.8,N
34.453,-119.005,369.7,2.5,1.5,2017-12-10,920,A,100,6.0NRT,281.9,438.4,N
34.451,-118.982,359.5,2.5,1.5,2017-12-10,920,A,100,6.0NRT,283.2,323.0,N
34.478,-119.513,368.5,2.7,1.6,2017-12-10,920,A,100,6.0NRT,276.4,454.1,N
