latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.892,-92.488,302.7,1.0,1.0,2017-12-07,425,T,51,6.0NRT,292.4,3.5,N
17.837,-93.12,318.5,1.0,1.0,2017-12-07,425,T,97,6.0NRT,291.8,16.9,N
17.848,-93.112,302.8,1.0,1.0,2017-12-07,425,T,35,6.0NRT,290.9,5.1,N
17.846,-93.121,336.8,1.0,1.0,2017-12-07,425,T,100,6.0NRT,290.9,39.4,N
18.203,-94.005,305.4,1.1,1.0,2017-12-07,425,T,64,6.0NRT,293.1,5.7,N
18.868,-92.617,315.9,1.0,1.0,2017-12-07,425,T,89,6.0NRT,295.6,11.2,N
18.867,-92.626,351.0,1.0,1.0,2017-12-07,425,T,100,6.0NRT,296.2,61.7,N
19.392,-92.037,310.6,1.0,1.0,2017-12-07,425,T,71,6.0NRT,296.1,6.9,N
19.391,-92.047,322.0,1.0,1.0,2017-12-07,425,T,100,6.0NRT,296.2,17.0,N
19.401,-92.038,306.6,1.0,1.0,2017-12-07,425,T,47,6.0NRT,295.9,4.5,N
19.432,-92.082,308.5,1.0,1.0,2017-12-07,425,T,61,6.0NRT,296.0,5.7,N
19.566,-92.242,305.8,1.0,1.0,2017-12-07,425,T,37,6.0NRT,295.7,4.0,N
19.605,-92.293,333.6,1.0,1.0,2017-12-07,425,T,100,6.0NRT,295.9,31.5,N
19.604,-92.302,306.3,1.0,1.0,2017-12-07,425,T,43,6.0NRT,295.5,4.5,N
32.235,-116.602,371.9,1.3,1.1,2017-12-07,610,T,100,6.0NRT,290.8,187.7,N
32.234,-116.616,387.1,1.3,1.1,2017-12-07,610,T,100,6.0NRT,292.4,279.5,N
32.244,-116.617,302.0,1.3,1.1,2017-12-07,610,T,46,6.0NRT,284.3,10.1,N
34.313,-118.304,308.9,1.2,1.1,2017-12-07,610,T,36,6.0NRT,284.7,12.6,N
34.323,-118.305,329.3,1.2,1.1,2017-12-07,610,T,100,6.0NRT,289.0,36.9,N
34.321,-118.317,309.2,1.2,1.1,2017-12-07,610,T,33,6.0NRT,286.4,12.9,N
34.331,-118.319,348.9,1.2,1.1,2017-12-07,610,T,100,6.0NRT,288.3,75.5,N
34.329,-118.331,323.1,1.2,1.1,2017-12-07,610,T,100,6.0NRT,286.3,27.5,N
34.326,-119.29,309.4,1.1,1.0,2017-12-07,610,T,77,6.0NRT,282.8,12.9,N
34.325,-119.301,343.3,1.1,1.0,2017-12-07,610,T,100,6.0NRT,287.6,56.9,N
34.324,-119.383,369.0,1.1,1.0,2017-12-07,610,T,100,6.0NRT,294.0,123.6,N
34.323,-119.394,338.8,1.1,1.0,2017-12-07,610,T,100,6.0NRT,289.8,46.3,N
34.33,-119.407,324.0,1.1,1.0,2017-12-07,610,T,100,6.0NRT,287.9,24.4,N
34.392,-118.994,352.1,1.1,1.0,2017-12-07,610,T,100,6.0NRT,294.8,77.0,N
34.391,-119.006,436.7,1.1,1.0,2017-12-07,610,T,100,6.0NRT,317.1,627.8,N
34.389,-119.017,356.2,1.1,1.0,2017-12-07,610,T,100,6.0NRT,296.6,86.4,N
34.351,-119.319,332.4,1.1,1.0,2017-12-07,610,T,100,6.0NRT,288.5,37.1,N
34.35,-119.331,345.4,1.1,1.0,2017-12-07,610,T,100,6.0NRT,290.7,60.1,N
34.348,-119.342,319.2,1.1,1.0,2017-12-07,610,T,98,6.0NRT,286.8,20.5,N
34.341,-119.398,346.6,1.1,1.0,2017-12-07,610,T,100,6.0NRT,288.5,59.2,N
34.339,-119.409,343.1,1.1,1.0,2017-12-07,610,T,100,6.0NRT,288.6,53.6,N
34.401,-118.996,376.2,1.1,1.0,2017-12-07,610,T,100,6.0NRT,298.7,157.2,N
34.4,-119.008,410.1,1.1,1.0,2017-12-07,610,T,100,6.0NRT,310.1,359.9,N
34.398,-119.02,351.1,1.1,1.0,2017-12-07,610,T,100,6.0NRT,294.9,72.3,N
34.357,-119.344,337.1,1.1,1.0,2017-12-07,610,T,100,6.0NRT,290.3,44.2,N
34.356,-119.355,327.8,1.1,1.0,2017-12-07,610,T,100,6.0NRT,288.9,30.0,N
34.412,-118.986,387.6,1.1,1.0,2017-12-07,610,T,100,6.0NRT,298.7,212.2,N
34.411,-118.998,401.7,1.1,1.0,2017-12-07,610,T,100,6.0NRT,305.4,297.4,N
34.409,-119.01,342.4,1.1,1.0,2017-12-07,610,T,100,6.0NRT,294.8,51.4,N
34.408,-119.022,315.9,1.1,1.0,2017-12-07,610,T,6,6.0NRT,289.0,14.1,N
34.406,-119.034,313.6,1.1,1.0,2017-12-07,610,T,0,6.0NRT,288.3,13.5,N
